full_name,age,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,saves_total_overall,PSxG,PSxG/SoT,xSaves_total_overall,SoTA
Abbey-Leigh Stringer,28,2022/2023,Midfielder,West Ham United Women,802,398,404,England,11,6,5,0,0,0,0,0,0,0,0,3,2,1,21,10,11,4,0,0,0,0,0,0,0,0
Abbie McManus,30,2022/2023,Defender,Leicester City WFC,152,62,90,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0
Adriana Leon,31,2022/2023,Forward,Manchester United Women,76,66,10,Canada,5,4,1,1,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Agnes Beever-Jones,20,2022/2023,Forward,Everton Women,757,359,398,England,16,8,8,2,2,0,0,0,0,0,0,5,1,4,13,10,3,4,1,0,0,0,0,0,0,0
Aileen Whelan,32,2022/2023,Forward,Leicester City WFC,1929,990,939,England,22,11,11,1,1,0,1,1,0,0,0,5,3,2,43,22,21,1,0,0,0,0,0,0,0,0
Aimee Claypole,17,2022/2023,Forward,Chelsea Women,9,9,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Aïssatou Tounkara,28,2022/2023,Midfielder,Manchester United Women,4,0,4,France,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alanna Kennedy,28,2022/2023,Defender,Manchester City Women,180,90,90,Australia,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Alessia Russo,24,2022/2023,Midfielder,Manchester United Women,1561,783,778,England,20,10,10,10,9,1,1,1,0,0,0,12,7,5,10,3,7,1,0,1,1,0,0,0,0,0
Alex Greenwood,30,2022/2023,Defender,Manchester City Women,1794,968,826,England,21,11,10,0,0,0,3,2,1,0,1,6,2,4,21,9,12,3,0,0,0,0,0,0,0,0
Alexandra Elena MacIver,25,2022/2023,Goalkeeper,Manchester City Women,270,0,270,England,3,0,3,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,4,1.14,0.19,0.81,6
Alisha Lehmann,24,2022/2023,Forward,Aston Villa Ladies,1533,786,747,Switzerland,22,11,11,5,3,2,2,2,0,0,1,6,1,5,27,17,10,2,0,0,1,0,0,0,0,0
Alsu Abdullina,22,2022/2023,Midfielder,Chelsea Women,115,82,33,Russia,6,3,3,0,0,0,1,0,1,0,0,5,2,3,1,1,0,0,0,0,0,0,0,0,0,0
Amalie Grønbak Thestrup,28,2022/2023,Forward,West Ham United Women,495,242,253,Denmark,10,5,5,0,0,0,0,0,0,0,0,2,2,0,7,4,3,0,0,0,0,0,0,0,0,0
Amalie Vevle Eikeland,28,2022/2023,Forward,Reading Women,1980,990,990,Norway,22,11,11,1,0,1,1,1,0,0,0,1,1,0,56,23,33,2,0,0,0,0,0,0,0,0
Amber Tysiak,23,2022/2023,Midfielder,West Ham United Women,226,145,81,Belgium,4,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
Amy Turner,32,2022/2023,Defender,Tottenham Hotspur Women,1856,970,886,England,22,11,11,0,0,0,0,0,0,0,0,3,2,1,43,23,20,4,0,0,0,0,0,0,0,0
Angharad James,29,2022/2023,Midfielder,Tottenham Hotspur Women,1552,669,883,Wales,22,11,11,0,0,0,2,1,1,0,0,3,2,1,34,15,19,1,0,0,0,0,0,0,0,0
Aniek Nouwen,24,2022/2023,Defender,Chelsea Women,118,12,106,Netherlands,3,1,2,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Ann-Katrin Berger,33,2022/2023,Goalkeeper,Chelsea Women,1350,810,540,Germany,15,9,6,0,0,0,0,0,0,0,0,8,5,3,9,5,4,0,0,0,0,33,10.5,0.25,0.75,42
Anna Jessica Leat,22,2022/2023,Goalkeeper,Aston Villa Ladies,630,360,270,New Zealand,7,4,3,0,0,0,0,0,0,0,0,1,0,1,9,5,4,1,0,0,0,18,6.75,0.25,0.75,27
